Timestamp,NodeID,Event,Details
2.000000,0,Sent Packet,"Packet: 0, Message: Temp: 28.3 C, Hum: 66%, Send Result: 22, Length: 22"
2.000000,1,Sent Packet,"Packet: 0, Message: Temp: 21.5 C, Hum: 73%, Send Result: 22, Length: 22"
2.000000,2,Sent Packet,"Packet: 0, Message: Temp: 28.6 C, Hum: 62%, Send Result: 22, Length: 22"
2.000000,3,Sent Packet,"Packet: 0, Message: Temp: 22.1 C, Hum: 52%, Send Result: 22, Length: 22"
2.000000,4,Sent Packet,"Packet: 0, Message: Temp: 29.0 C, Hum: 69%, Send Result: 22, Length: 22"
2.000000,5,Sent Packet,"Packet: 0, Message: Temp: 22.6 C, Hum: 50%, Send Result: 22, Length: 22"
2.000000,6,Sent Packet,"Packet: 0, Message: Temp: 27.2 C, Hum: 66%, Send Result: 22, Length: 22"
2.000000,7,Sent Packet,"Packet: 0, Message: Temp: 26.8 C, Hum: 77%, Send Result: 22, Length: 22"
2.000000,8,Sent Packet,"Packet: 0, Message: Temp: 28.2 C, Hum: 70%, Send Result: 22, Length: 22"
2.000000,9,Sent Packet,"Packet: 0, Message: Temp: 22.3 C, Hum: 57%, Send Result: 22, Length: 22"
2.044200,10,Received Packet,"Size: 22"
2.044200,10,Gateway Response,"To: 2001:db8::ff:fe00:8"
2.056296,10,Received Packet,"Size: 22"
2.056296,10,Gateway Response,"To: 2001:db8::ff:fe00:2"
2.065704,10,Received Packet,"Size: 22"
2.065704,10,Gateway Response,"To: 2001:db8::ff:fe00:9"
2.080360,10,Received Packet,"Size: 22"
2.080360,10,Gateway Response,"To: 2001:db8::ff:fe00:5"
2.084040,8,Received Packet,"Size: 3"
2.087848,2,Received Packet,"Size: 3"
2.091977,9,Received Packet,"Size: 3"
2.096745,5,Received Packet,"Size: 3"
2.700000,8,Sent Packet,"Packet: 1, Message: Temp: 22.9 C, Hum: 62%, Send Result: 22, Length: 22"
2.703872,10,Received Packet,"Size: 22"
2.703872,10,Gateway Response,"To: 2001:db8::ff:fe00:8"
2.708192,8,Received Packet,"Size: 3"
2.800000,4,Sent Packet,"Packet: 1, Message: Temp: 25.8 C, Hum: 79%, Send Result: 22, Length: 22"
3.027352,10,Received Packet,"Size: 22"
3.027352,10,Gateway Response,"To: 2001:db8::ff:fe00:3"
3.037080,10,Received Packet,"Size: 22"
3.037080,10,Gateway Response,"To: 2001:db8::ff:fe00:1"
3.040760,3,Received Packet,"Size: 3"
3.045848,1,Received Packet,"Size: 3"
3.100000,5,Sent Packet,"Packet: 1, Message: Temp: 29.3 C, Hum: 66%, Send Result: 22, Length: 22"
3.104192,10,Received Packet,"Size: 22"
3.104192,10,Gateway Response,"To: 2001:db8::ff:fe00:5"
3.109472,5,Received Packet,"Size: 3"
3.200000,3,Sent Packet,"Packet: 1, Message: Temp: 24.2 C, Hum: 59%, Send Result: 22, Length: 22"
3.203232,10,Received Packet,"Size: 22"
3.203232,10,Gateway Response,"To: 2001:db8::ff:fe00:3"
3.206272,3,Received Packet,"Size: 3"
3.400000,2,Sent Packet,"Packet: 1, Message: Temp: 22.1 C, Hum: 79%, Send Result: 22, Length: 22"
3.400000,7,Sent Packet,"Packet: 1, Message: Temp: 23.7 C, Hum: 58%, Send Result: 22, Length: 22"
3.400000,8,Sent Packet,"Packet: 2, Message: Temp: 21.5 C, Hum: 50%, Send Result: 22, Length: 22"
3.403552,10,Received Packet,"Size: 22"
3.403552,10,Gateway Response,"To: 2001:db8::ff:fe00:8"
3.406912,8,Received Packet,"Size: 3"
3.418592,10,Received Packet,"Size: 22"
3.418592,10,Gateway Response,"To: 2001:db8::ff:fe00:7"
3.421632,7,Received Packet,"Size: 3"
3.425440,10,Received Packet,"Size: 22"
3.425440,10,Gateway Response,"To: 2001:db8::ff:fe00:2"
3.428480,2,Received Packet,"Size: 3"
3.600000,6,Sent Packet,"Packet: 1, Message: Temp: 22.6 C, Hum: 51%, Send Result: 22, Length: 22"
3.605152,10,Received Packet,"Size: 22"
3.605152,10,Gateway Response,"To: 2001:db8::ff:fe00:6"
3.610112,6,Received Packet,"Size: 3"
4.000000,1,Sent Packet,"Packet: 1, Message: Temp: 25.6 C, Hum: 53%, Send Result: 22, Length: 22"
4.000000,9,Sent Packet,"Packet: 1, Message: Temp: 27.0 C, Hum: 66%, Send Result: 22, Length: 22"
4.000000,4,Sent Packet,"Packet: 2, Message: Temp: 20.5 C, Hum: 65%, Send Result: 22, Length: 22"
4.003232,10,Received Packet,"Size: 22"
4.003232,10,Gateway Response,"To: 2001:db8::ff:fe00:1"
4.007328,10,Received Packet,"Size: 22"
4.007328,10,Gateway Response,"To: 2001:db8::ff:fe00:9"
4.022272,1,Received Packet,"Size: 3"
4.026400,9,Received Packet,"Size: 3"
4.037856,10,Received Packet,"Size: 22"
4.037856,10,Gateway Response,"To: 2001:db8::ff:fe00:4"
4.041856,4,Received Packet,"Size: 3"
4.047744,10,Received Packet,"Size: 22"
4.047744,10,Gateway Response,"To: 2001:db8::ff:fe00:4"
4.055616,10,Received Packet,"Size: 22"
4.055616,10,Gateway Response,"To: 2001:db8::ff:fe00:4"
4.059936,4,Received Packet,"Size: 3"
4.064064,4,Received Packet,"Size: 3"
4.100000,6,Sent Packet,"Packet: 2, Message: Temp: 22.7 C, Hum: 76%, Send Result: 22, Length: 22"
4.104192,10,Received Packet,"Size: 22"
4.104192,10,Gateway Response,"To: 2001:db8::ff:fe00:6"
4.107552,6,Received Packet,"Size: 3"
4.200000,0,Sent Packet,"Packet: 1, Message: Temp: 24.6 C, Hum: 59%, Send Result: 22, Length: 22"
4.300000,2,Sent Packet,"Packet: 2, Message: Temp: 25.7 C, Hum: 74%, Send Result: 22, Length: 22"
4.300000,7,Sent Packet,"Packet: 2, Message: Temp: 28.2 C, Hum: 65%, Send Result: 22, Length: 22"
4.303232,10,Received Packet,"Size: 22"
4.303232,10,Gateway Response,"To: 2001:db8::ff:fe00:2"
4.307840,10,Received Packet,"Size: 22"
4.307840,10,Gateway Response,"To: 2001:db8::ff:fe00:7"
4.312160,2,Received Packet,"Size: 3"
4.315648,7,Received Packet,"Size: 3"
4.600000,9,Sent Packet,"Packet: 2, Message: Temp: 26.7 C, Hum: 64%, Send Result: 22, Length: 22"
4.604832,10,Received Packet,"Size: 22"
4.604832,10,Gateway Response,"To: 2001:db8::ff:fe00:9"
4.609792,9,Received Packet,"Size: 3"
4.700000,5,Sent Packet,"Packet: 2, Message: Temp: 24.3 C, Hum: 70%, Send Result: 22, Length: 22"
4.700000,1,Sent Packet,"Packet: 2, Message: Temp: 20.8 C, Hum: 56%, Send Result: 22, Length: 22"
4.702912,10,Received Packet,"Size: 22"
4.702912,10,Gateway Response,"To: 2001:db8::ff:fe00:5"
4.706272,5,Received Packet,"Size: 3"
4.711808,10,Received Packet,"Size: 22"
4.711808,10,Gateway Response,"To: 2001:db8::ff:fe00:1"
4.716768,1,Received Packet,"Size: 3"
4.900000,4,Sent Packet,"Packet: 3, Message: Temp: 28.8 C, Hum: 74%, Send Result: 22, Length: 22"
4.902912,10,Received Packet,"Size: 22"
4.902912,10,Gateway Response,"To: 2001:db8::ff:fe00:4"
4.906912,4,Received Packet,"Size: 3"
5.000000,3,Sent Packet,"Packet: 2, Message: Temp: 25.1 C, Hum: 64%, Send Result: 22, Length: 22"
5.003232,10,Received Packet,"Size: 22"
5.003232,10,Gateway Response,"To: 2001:db8::ff:fe00:3"
5.007552,3,Received Packet,"Size: 3"
5.100000,6,Sent Packet,"Packet: 3, Message: Temp: 23.2 C, Hum: 50%, Send Result: 22, Length: 22"
5.105152,10,Received Packet,"Size: 22"
5.105152,10,Gateway Response,"To: 2001:db8::ff:fe00:6"
5.108512,6,Received Packet,"Size: 3"
5.200000,8,Sent Packet,"Packet: 3, Message: Temp: 26.8 C, Hum: 69%, Send Result: 22, Length: 22"
5.203232,10,Received Packet,"Size: 22"
5.203232,10,Gateway Response,"To: 2001:db8::ff:fe00:8"
5.206912,8,Received Packet,"Size: 3"
5.500000,9,Sent Packet,"Packet: 3, Message: Temp: 22.6 C, Hum: 56%, Send Result: 22, Length: 22"
5.503872,10,Received Packet,"Size: 22"
5.503872,10,Gateway Response,"To: 2001:db8::ff:fe00:9"
5.507232,9,Received Packet,"Size: 3"
5.700000,4,Sent Packet,"Packet: 4, Message: Temp: 23.9 C, Hum: 65%, Send Result: 22, Length: 22"
5.704192,10,Received Packet,"Size: 22"
5.704192,10,Gateway Response,"To: 2001:db8::ff:fe00:4"
5.707872,4,Received Packet,"Size: 3"
5.900000,5,Sent Packet,"Packet: 3, Message: Temp: 23.4 C, Hum: 78%, Send Result: 22, Length: 22"
5.904512,10,Received Packet,"Size: 22"
5.904512,10,Gateway Response,"To: 2001:db8::ff:fe00:5"
5.908192,5,Received Packet,"Size: 3"
6.000000,0,Sent Packet,"Packet: 2, Message: Temp: 20.1 C, Hum: 67%, Send Result: 22, Length: 22"
6.200000,7,Sent Packet,"Packet: 3, Message: Temp: 21.7 C, Hum: 62%, Send Result: 22, Length: 22"
6.204512,10,Received Packet,"Size: 22"
6.204512,10,Gateway Response,"To: 2001:db8::ff:fe00:7"
6.209152,7,Received Packet,"Size: 3"
6.300000,2,Sent Packet,"Packet: 3, Message: Temp: 25.6 C, Hum: 51%, Send Result: 22, Length: 22"
